year,heater_preveil,kerosene_price
1985,28.7,51.8
1986,33.2,38.7
1987,37.1,32.3
1988,40.4,28.2
1989,45.4,30.9
1990,48,38
1991,53.6,36.3
1992,55.6,35
1993,56.4,33.1
1994,59,31.6
1995,59.2,31.5
1996,61,37.7
1997,61.9,40.8
1998,61.9,37
1999,62.6,39.6
2000,63.7,49.3
2001,64.2,54.3
2002,65.6,60.8
2003,66.9,62.4
2004,67.5,70.8
2005,68.8,93.7
2006,67.5,115.7
2007,66.2,120.9
2008,64.4,156.4
2009,65,90.2
2010,65.6,110
2011,63,131.8
2012,64.4,135.1
2013,61.7,151.5
2014,59.9,155.7
2015,59.1,108.4
2016,58.5,86.4
2017,52.3,109.7
2018,51.9,138.3
2019,50,129.9
2020,49.1,100
2021,47.9,138.9
2022,46.7,161.6
2023,47.6,166.3
2024,47.5,170.4