year,sarary_univirsity,salary_high_scool
1976,94.3,76.9
1977,101,81.9
1978,105.5,85.9
1979,109.5,88.6
1980,114.5,92.8
1981,120.8,98.4
1982,127.2,103.4
1983,132.2,106.2
1984,135.8,108.8
1985,140,112.2
1986,144.5,115.4
1987,148.2,118.1
1988,153.1,120.3
1989,160.9,125.6
1990,169.9,133
1991,179.4,140.8
1992,186.9,146.6
1993,190.3,150.6
1994,192.4,153.8
1995,194.2,154
1996,193.2,154.5
1997,193.9,156
1998,195.5,156.5
1999,196.6,157.6
2000,196.9,157.1
2001,198.3,158.1
2002,198.5,157.5
2003,201.3,157.5
2004,198.3,156.1
2005,196.7,155.7
2006,199.8,157.6
2007,198.8,158.8
2008,201.3,160
2009,201.4,160.8
2010,200.3,160.7
2011,205,159.4
2012,201.8,160.1
2013,200.2,158.9
2014,202.9,161.3
2015,204.5,163.4
2016,205.9,163.5
2017,207.8,164.2
2018,210.1,166.6
2019,212.8,168.9
2020,227.2,179.5
2021,226.7,181.6
2022,229.7,183.4
2023,240.3,189.0